"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Gebäudekategorie";"Anzahl Zimmer";"Bauperiode";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"1946-1960";2;2;2;2;2;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"1961-1970";3;3;3;3;3;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"1971-1980";3;3;3;3;3;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"1981-1990";6;6;6;6;6;6;6;6;6;6;6;6;6
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"1991-2000";24;24;24;24;24;24;24;24;24;24;24;24;24
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"2006-2010";3;3;3;3;3;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"2011-2015";0;0;0;0;19;27;27;27;27;27;27;27;27
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"2016-2022";0;0;0;0;0;0;0;0;10;10;12;12;12
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"Vor 1919";6;6;6;6;6;5;5;5;6;6;6;7;7
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"1919-1945";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"1946-1960";0;0;0;0;0;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"1961-1970";4;4;4;4;4;4;4;4;4;4;4;4;4
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"1971-1980";1;1;1;1;1;1;1;1;1;1;2;2;2
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"1981-1990";6;6;6;6;6;6;6;6;6;6;6;6;6
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"1991-2000";4;4;4;4;4;4;4;4;4;4;4;4;4
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"2006-2010";3;3;3;3;3;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"2011-2015";0;0;0;0;0;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"5 Zimmer";"2016-2022";0;0;0;0;0;0;0;0;3;3;3;3;3
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"Vor 1919";7;7;7;7;7;8;8;8;8;7;7;7;7
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"1919-1945";0;0;0;0;0;0;0;0;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"1946-1960";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"1961-1970";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"1971-1980";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"1981-1990";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"1991-2000";2;2;2;2;2;2;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"2006-2010";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"2011-2015";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"6+ Zimmer";"2016-2022";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"Vor 1919";0;0;0;0;0;0;0;0;0;0;0;0;0
